word,weight
2022,-0.0006616165469885958
年,-0.0016943932128209054
10,0.004666200988295488
月,-0.0015048084719326406
日,-0.0015992933878006218
外交部,-0.0011840692001550738
发言人,-0.0011387696601837232
毛宁,0.024158980984590295
主持,-0.0004397610138090995
例行,-0.0004042026091273034
记者会,-0.00042584642840201033
巴通社,0.003019928752892075
记者,-0.0034540715852090747
报告,0.008223821754053931
显示,0.007121720153631167
中巴,0.011011468918214333
经济,0.0017096313246888993
走廊,0.008381030436426986
建成,0.002825230665054508
能源,0.00698138940961585
项目,0.007257489043585894
迄今已,0.0021551724137931034
巴基斯坦,0.0065340622153445835
创造,0.004073346565059443
4.6,0.0021551724137931034
万个,0.002844288919076864
就业机会,0.0021551724137931034
中方,-0.006029160469514707
对此,-0.0021759416546353397
有何,-0.0020368485031327255
评论,-0.0019726996612314694
注意,0.003349077507626501
消息,0.006075836192543824
一带,0.004544797746156447
一路,0.004685042606244262
重要,0.0023637917902916226
先行,0.0021551724137931034
先试,0.0021551724137931034
新,0.0022600353976874664
时代,0.0038417265954604567
合作,0.0
标志性,0.0030471294963617577
工程,0.004310344827586207
领域,0.0016178850195132815
投入,0.0032536305215658083
最大,0.0032406679619458065
进展,0.0029966483116938354
最快,0.002248361167903277
成果,0.0013319952840385992
显著,0.003477127998232228
提供,0.0009899224062288757
清洁,0.0027374753617794524
稳定,0.0021636522607869925
优质,0.0021551724137931034
服务,0.0030144659957730023
经济社会,0.003678213151297369
发展,-0.00400582123444888
大量,0.003399800652858335
就业,0.003114753865311272
帮助,0.0033728297704890384
培养,0.0021551724137931034
一批,0.002544236976667994
种类,0.0024148498282472895
建设,0.0019520701829126958
运营,0.003603878986859981
管理,0.0032592933820726035
人才,0.0021551724137931034
得到,0.005509817130035791
巴政府,0.0021551724137931034
社会各界,0.0021551724137931034
高度评价,0.0037994506197682578
愿同,0.0020559906225530683
巴方,0.0054857458920657635
一道,0.0017518181844000686
秉持,0.002605358585459456
共商,0.0025091129702179433
共建,0.003996024600401096
共享,0.0028620897091229083
原则,0.0
深化,0.0025105019254401152
互利,0.0036841474706086944
共赢,0.002855538399695266
造成,0.003563250120470452
高质量,0.0033565411965353897
示范性,0.0021551724137931034
更好,0.0031550686543215436
造福,0.002896286720990644
两,0.005005456354285953
国,0.0014971869624131084
地区,0.005946382439373755
各国,0.0019864607978093505
人民,0.0023244493350921417
路透社,0.0035718147887665707
今天上午,0.0021551724137931034
乌克兰,0.008287751260981826
首都,0.002411397443163981
基辅,0.0021551724137931034
多个,0.005121487170135851
城市,0.002574026573051784
发生,0.005095110768198557
强烈,0.0030921588239125096
爆炸,0.004310344827586207
显然,0.002158167126709156
俄罗斯,0.004998627440930051
报复,0.0021551724137931034
行动,0.003677244781637634
此前,0.003350592385427579
总统,0.0
普京,0.003918783131926685
宣称,0.002248361167903277
克里米亚,0.004382971532195061
大桥,0.004257659971931645
爆炸事件,0.004310344827586207
系,0.0026172473521156618
恐怖袭击,0.0021551724137931034
报道,-0.001291209451663735
希望,0.00439625433507795
局势,0.005025421340320467
能够,0.0044296577528012675
尽快,0.003815146729690576
缓和,0.00700855140236827
澎湃,0.0027535695481867213
新闻记者,0.0027535695481867213
美国,0.0029322033549462243
疾病,0.0021551724137931034
控制,0.003843234923311496
预防,0.004310344827586207
中心,0.0039955013585587645
近日,0.0037931074419750113
发布,0.0
2020,0.0036481378376539307
2021,0.003982696803015836
持枪,0.0021551724137931034
杀人案,0.0021551724137931034
数量,0.002810598293813839
增长,0.004269872126893339
8%,0.002411397443163981
达到,0.004118103097793076
世纪,0.0023932881343022754
90,0.002967296046812837
年代,0.0021551724137931034
初,0.00285695993850892
新高,0.0030173561256105286
枪支,0.007377009543289523
暴力,0.006319715490636906
档案,0.0021551724137931034
网站,0.0021551724137931034
数据,0.004715272590772811
26,0.002985876018035759
今年,0.003790231129664032
已经,0.0028247879173515606
500,0.0025726239592725676
至少,0.002418397717668321
死伤,0.0021551724137931034
大规模,0.004832813056127416
枪击,0.00837412566626037
事件,0.005624103840065228
月底,0.0021551724137931034
得克萨斯州,0.0021551724137931034
马里兰州,0.0021551724137931034
亚利桑那州,0.0021551724137931034
接连,0.002411397443163981
中,0.0
提到,0.0014361344347785686
非裔,0.004230003548420315
年龄段,0.0021551724137931034
死亡率,0.002158167126709156
最高,0.0031636822060275814
疾控,0.0026993298977513146
枪杀,0.002825230665054508
概率,0.0025406688634521083
白人,0.004453177547166868
12,0.0028604695255084276
倍,0.003862721790613815
系统性,0.002424037161660761
种族歧视,0.0036314123570645868
叠加,0.0021551724137931034
少数,0.00859236020213255
族裔,0.004698835990161265
成为,0.002161121378724256
受害者,0.0043257706660769476
生命权,0.002424037161660761
人权,0.01610482913071724
有效,0.0032233415120257844
遏制,0.0032177669856151845
切实,0.002505171804551164
保护,0.003882877142706169
权利,0.004110207674496421
国际,-0.002741939105667033
社会,0.0013484911557927793
衡量,0.0026172473521156618
美式,0.0021551724137931034
民主,0.003019928752892075
标尺,0.0021551724137931034
追问,0.0030039627631958422
问题,-0.003033342430521349
刚才,0.004380216283082408
说,0.004627372806059033
当前,0.00312051377481873
真的,0.0021551724137931034
